YEAR,GDP
1982,113759185.2
1963,113797356.8
1965,114040245.7
1981,114271897.3
1965,114339049
1985,114490697.6
1977,114971207.2
2001,115152100
1975,115182522.1
1967,115400000
1981,115651925.9
1987,116700000
1961,116987784.9
2014,117020381.9
1998,117320000
1977,117650000
1975,118066298.3
1979,118537875.1
1986,118691396.8
1960,119000024
1979,119258835.3
1995,120230000
1964,120850000
1960,121128073.1
1973,121181556.2
1982,121221651.6
1961,122000016
1983,122255333.3
1978,122666858.8
1989,122888609.7
1962,122906435
1961,123134584.5
1980,123505640.9
1985,123698506.1
1979,123935518.5
1962,124482748.9
1966,124525702.9
1988,124700000
2002,124735100
1972,124941925
1962,125000008
1986,125272259.3
1982,125435592.6
1991,125597205.4
1990,125766269.8
2005,126194166.2
1987,126348148.1
1961,126396469.7
2003,126887600
1971,126957494.4
1985,127154929.6
1979,127261099.2
1963,128000000
1963,129379097.9
1963,129454728.6
1964,129999994
1986,130225018.8
2009,130465372
2007,130754915.9
1987,130834145.1
2004,131334600
1980,131431037
1960,131731862.6
1983,131803555.6
1984,132019065
1994,132200000
1991,132201141.4
1962,132237441.6
1992,132303041.4
1966,132758395.4
1988,133016065.4
1993,133122897.2
1966,134173373.8
2006,134441116.9
1992,134707184.4
1995,134800000
1984,135025000
1989,135200000
1984,135553764
1980,135653295.2
1993,136047896.2
1978,136300000
1971,136465324.4
1992,137066290.6
1985,137728155.2
2005,137928600
1977,138094243.3
1983,138476239.4
1984,138478900.6
1993,138489884.4
1965,138650000
1967,139030445.6
2008,139125482.3
1981,139468114.6
1964,140032741.5
1973,140153748.2
1982,140630758.6
1987,140705629.6
1987,141268980.5
1960,141468977.6
1995,141853368.3
1986,141902097.9
1964,142025069.5
1980,142246875.5
1963,143255784.5
1988,143766666.7
1985,143856253.1
2006,143930000
1989,144482170.2
1984,145533296.3
1985,145641703.7
2007,145827429.6
1980,146341370.4
1981,146391639.7
1983,146712850.5
1972,146741251.5
1965,147084750
1990,147200000
1980,147357222.8
1976,147654093.8
2000,147832600
1981,147841740.7
1982,147912069.8
1988,148545381.4
1965,148799980
1982,148934334
1975,149560513.9
1968,150000000
1965,150574816.3
1966,150603925.5
2007,150776500
1973,150820102.8
1974,150846210.4
1979,151270207.9
1984,151313242
1961,151675739.2
1979,151800000
1964,151897168.1
2009,152617500
2008,152788700
2010,153275912.7
1989,153374074.1
1963,154480244.2
1981,154731969.7
1981,154902869
1967,155102984.6
1966,157930041.9
2003,157962700
2001,158159300
1990,158397403
1965,158994963
1996,159400000
1967,159560018
1965,159594493.5
1993,160400000
1968,160819286.6
1986,160846666.7
1969,161211289.7
2002,161615200
1986,162487763.9
1967,162625885.9
1960,162960130.5
1983,163577538.3
1967,163820538.9
1966,164206537.6
1982,164369296.3
1988,164458120.3
1969,164900000
2010,164969100
1972,165258093.9
1966,165444571.4
1982,165523634.5
1983,165585940.6
1988,165745740.7
1973,165930611.7
1964,166104067.6
1991,166200000
1990,166322222.2
1962,166521239.9
1968,166952937.1
1961,167637907.4
1985,167728444.4
1981,167970111.1
1988,168610478.4
1980,168715353.1
1985,168887539.1
2015,169140538.7
1984,169264991.2
1960,169803921.6
1974,169918948.6
1960,170215248.2
1966,171100000
1978,171836793.4
1968,172200018
1985,172217502
1963,172233430.9
1965,172767213.3
2011,173260300
2004,173373900
1968,173800000
1987,173836362
1961,174580139.8
1987,175580629.6
1963,175756868.7
1965,176534589.6
2011,177142135.1
1984,177338801.9
1992,178100000
1967,178297142.9
2014,178869341.2
1970,179080099.3
1982,179250000
2015,179697900
1967,180036768.9
1983,180219397.5
1966,180340653.8
1991,180437037
2001,181244788.5
2016,181551484.9
1983,182144111.1
1969,182182067.7
2002,182737040.1
1982,182754000
1962,182796536.5
1962,183120146.6
2014,183121300
1968,183200000
2010,183335100
1961,183920900
1989,185094777.8
2012,185210500
1986,185646209.4
1964,185693724.8
1994,185761822.6
1961,185848451.3
1970,186300000
1974,186558696.3
2009,186891100
2013,187153601.1
1965,187300336.4
1981,187313261.3
1986,187589518.5
2009,187821029
2008,188021168.8
1969,188039191.3
2012,188045661.6
1993,188080374.4
1982,188446092.1
1998,188686997.3
1969,188700037
1968,188864890.8
1991,188869985.7
1983,189000000
1970,189106554.5
1989,189535398.2
1961,190098039.2
1969,190205714.3
1960,190495600
1986,190651208
2013,190800800
1963,190820152.8
1967,191221777.8
2005,191326500
1992,191759259.3
1968,191767437
1962,191861800
1981,192900000
2006,193085900
1977,193307267.7
1994,193775943
1974,193983720.5
2016,194497900
1964,194740155.9
1980,194750000
2007,194767100
1964,194773376.9
1962,194948375.4
1960,195999990
1992,196142585
1987,196433684
1999,196686674.7
2008,196711500
1983,197228777.8
2010,197454053.1
1971,197523179.2
1965,198318063.9
1993,198400000
1967,198450000
1989,198733185.9
1969,199643444.6
2011,200066900
1963,200229600
1993,200418518.5
1988,200726703.7
1986,201375725.6
1971,201450768.4
2000,202363492.2
1994,202500000
2003,202543202
1995,202547013.9
1961,202999992
2000,203846427.7
1998,206457553.4
1997,206900300
1979,207114382.5
1988,207476554.8
1986,207850623.6
1984,208372851.9
1990,208740444.4
1985,209150000
1970,209348253.6
1991,209880963
1968,210695183.8
1986,210737869.7
1984,210900000
1971,211100000
1975,211194305.7
1969,211300000
1997,212099634.7
1997,212155124.7
1962,212254902
1989,213143016.4
1965,213235294.1
1983,213446562.6
1962,213500006
1989,214745000
1987,215009555.6
1990,215089005.2
2012,215095100
1998,215394066.1
1994,215459259.3
1968,215507164
1966,215659455
1964,215679855.3
1982,216051496
1966,216136263.9
1984,217663037
1981,218764445.8
1996,218845700
1964,218929100
1970,219000000
1994,219260341.1
1996,219583570.1
1998,219646200
1970,219878482.2
1970,219900006
2001,220093812.2
1975,220127246.4
1968,220600000
1966,220613582.4
1987,220626484.2
1999,220660500
1967,220984369.1
1994,221098106.5
1973,221902017.3
1995,222103600
1999,222580453.8
1971,222952578.2
1992,223500000
1995,224037037
1999,224446652.1
1995,224865731.4
1985,225724851.7
1960,226195579.4
1992,226313492.7
1965,226474285.6
1971,227051055
1976,227281024.6
1986,227850000
2013,228012200
1966,228705882.4
1965,229260800
2004,229358214.8
1992,229434518.5
1965,229460183.7
1968,229750000
1972,230317908
1996,230495751.4
1960,230496033
1967,231706475.5
1995,231896229.6
1985,232306861.2
1996,232463036.4
1963,232749998
2011,233213522.6
2000,233226300
1969,233450000
1995,233902114.9
1993,235239570.4
1987,235253171.8
1972,235400000
1994,235619994.8
1961,235668222.4
1988,236357518.5
1962,236434906.8
1996,236444444.4
1993,236880813.8
1967,237397428.3
1963,237745098
1987,238606299.6
1969,239980801.5
2001,240051900
2004,240097000
1990,240365259.3
1976,240780413.6
1985,240923925.9
1980,241080708.9
1985,241273000
2002,241543400
1968,241956910.7
1970,242732571.4
1969,242943776.9
1990,243961995.5
1973,244129088
1966,244459500
1991,244468292.7
1961,244832035
1968,245160098.1
1996,245177633.2
2003,245277400
1997,245781481.5
1966,245849781.7
1975,246387479.2
2014,246436300
1972,246457838.3
2002,246737679.5
1972,246804571.4
1991,246823428.9
1970,247150000
1971,247749327.7
1960,248434097
1987,249267039.8
1969,249300000
1993,249676000
1996,249908970.7
1990,250030760.8
1991,250045839.9
2005,250149400
1967,250176470.6
1970,250721821.6
1992,250794359.6
1968,251247458
2012,252560557.1
1984,252806783.4
1971,252842285.7
1987,253182453.7
2006,253372300
1961,253885656.3
1963,253927646.5
1995,253966919.9
1970,253976626.2
1977,254020153.3
1970,254035999.2
1991,254829629.6
1997,255890221.8
1970,256299496
2007,256548100
1971,257000000
1991,257150573.2
